Time_ps,Density_g_per_cm3
3.079000009179748254e+00,2.064347432239529656e+00
3.079500009181238784e+00,2.064347432239529656e+00
3.080000009182729759e+00,2.064347432239529656e+00
3.080500009184220289e+00,2.064347432239529656e+00
3.081000009185710820e+00,2.064347432239529656e+00
3.081500009187201794e+00,2.064347432239529656e+00
3.082000009188692324e+00,2.064347432239529656e+00
3.082500009190183299e+00,2.064347432239529656e+00
3.083000009191673829e+00,2.064347432239529656e+00
3.083500009193164360e+00,2.064347432239529656e+00
3.084000009194655334e+00,2.064347432239529656e+00
3.084500009196145864e+00,2.064347432239529656e+00
3.085000009197636839e+00,2.064347432239529656e+00
3.085500009199127369e+00,2.064347432239529656e+00
3.086000009200617900e+00,2.064347432239529656e+00
3.086500009202108874e+00,2.064347432239529656e+00
3.087000009203599404e+00,2.064347432239529656e+00
3.087500009205090379e+00,2.064347432239529656e+00
3.088000009206580909e+00,2.064347432239529656e+00
3.088500009208071440e+00,2.064347432239529656e+00
3.089000009209562414e+00,2.064347432239529656e+00
3.089500009211052944e+00,2.064347432239529656e+00
3.090000009212543475e+00,2.064347432239529656e+00
3.090500009214034449e+00,2.064347432239529656e+00
3.091000009215524980e+00,2.064347432239529656e+00
3.091500009217015954e+00,2.064347432239529656e+00
3.092000009218506484e+00,2.064347432239529656e+00
3.092500009219997015e+00,2.064347432239529656e+00
3.093000009221487989e+00,2.064347432239529656e+00
3.093500009222978520e+00,2.064347432239529656e+00
3.094000009224469494e+00,2.064347432239529656e+00
3.094500009225960024e+00,2.064347432239529656e+00
3.095000009227450555e+00,2.064347432239529656e+00
3.095500009228941529e+00,2.064347432239529656e+00
3.096000009230432060e+00,2.064347432239529656e+00
3.096500009231923034e+00,2.064347432239529656e+00
3.097000009233413564e+00,2.064347432239529656e+00
3.097500009234904095e+00,2.064347432239529656e+00
3.098000009236395069e+00,2.064347432239529656e+00
3.098500009237885600e+00,2.064347432239529656e+00
3.099000009239376130e+00,2.064347432239529656e+00
3.099500009240867104e+00,2.064347432239529656e+00
3.100000009242357635e+00,2.064347432239529656e+00
3.100500009243848609e+00,2.064347432239529656e+00
3.101000009245339140e+00,2.064347432239529656e+00
3.101500009246829670e+00,2.064347432239529656e+00
3.102000009248320644e+00,2.064347432239529656e+00
3.102500009249811175e+00,2.064347432239529656e+00
3.103000009251302149e+00,2.064347432239529656e+00
3.103500009252792680e+00,2.064347432239529656e+00
3.104000009254283210e+00,2.064347432239529656e+00
3.104500009255774184e+00,2.064347432239529656e+00
3.105000009257264715e+00,2.064347432239529656e+00
3.105500009258755689e+00,2.064347432239529656e+00
3.106000009260246220e+00,2.064347432239529656e+00
3.106500009261736750e+00,2.064347432239529656e+00
3.107000009263227724e+00,2.064347432239529656e+00
3.107500009264718255e+00,2.064347432239529656e+00
3.108000009266208785e+00,2.064347432239529656e+00
3.108500009267699760e+00,2.064347432239529656e+00
3.109000009269190290e+00,2.064347432239529656e+00
3.109500009270681264e+00,2.064347432239529656e+00
3.110000009272171795e+00,2.064347432239529656e+00
3.110500009273662325e+00,2.064347432239529656e+00
3.111000009275153300e+00,2.064347432239529656e+00
3.111500009276643830e+00,2.064347432239529656e+00
3.112000009278134804e+00,2.064347432239529656e+00
3.112500009279625335e+00,2.043873828199799458e+00
3.113000009281115865e+00,2.043873828199799458e+00
3.113500009282606840e+00,2.043873828199799458e+00
3.114000009284097370e+00,2.043873828199799458e+00
3.114500009285588344e+00,2.043873828199799458e+00
3.115000009287078875e+00,2.043873828199799458e+00
3.115500009288569405e+00,2.043873828199799458e+00
3.116000009290060380e+00,2.043873828199799458e+00
3.116500009291550910e+00,2.043873828199799458e+00
3.117000009293041440e+00,2.043873828199799458e+00
3.117500009294532415e+00,2.043873828199799458e+00
3.118000009296022945e+00,2.043873828199799458e+00
3.118500009297513920e+00,2.043873828199799458e+00
3.119000009299004450e+00,2.043873828199799458e+00
3.119500009300494980e+00,2.043873828199799458e+00
3.120000009301985955e+00,2.043873828199799458e+00
3.120500009303476485e+00,2.043873828199799458e+00
3.121000009304967460e+00,2.043873828199799458e+00
3.121500009306457990e+00,2.043873828199799458e+00
3.122000009307948520e+00,2.043873828199799458e+00
3.122500009309439495e+00,2.043873828199799458e+00
3.123000009310930025e+00,2.043873828199799458e+00
3.123500009312421000e+00,2.043873828199799458e+00
3.124000009313911530e+00,2.043873828199799458e+00
3.124500009315402060e+00,2.043873828199799458e+00
3.125000009316893035e+00,2.043873828199799458e+00
3.125500009318383565e+00,2.043873828199799458e+00
3.126000009319874096e+00,2.043873828199799458e+00
3.126500009321365070e+00,2.043873828199799458e+00
3.127000009322855600e+00,2.043873828199799458e+00
3.127500009324346575e+00,2.043873828199799458e+00
3.128000009325837105e+00,2.043873828199799458e+00
3.128500009327327636e+00,2.043873828199799458e+00
3.129000009328818610e+00,2.043873828199799458e+00
3.129500009330309140e+00,2.043873828199799458e+00
3.130000009331800115e+00,2.043873828199799458e+00
3.130500009333290645e+00,2.043873828199799458e+00
3.131000009334781176e+00,2.043873828199799458e+00
3.131500009336272150e+00,2.043873828199799458e+00
3.132000009337762680e+00,2.043873828199799458e+00
3.132500009339253211e+00,2.043873828199799458e+00
3.133000009340744185e+00,2.043873828199799458e+00
3.133500009342234716e+00,2.043873828199799458e+00
3.134000009343725690e+00,2.043873828199799458e+00
3.134500009345216220e+00,2.043873828199799458e+00
3.135000009346706751e+00,2.043873828199799458e+00
3.135500009348197725e+00,2.043873828199799458e+00
3.136000009349688256e+00,2.043873828199799458e+00
3.136500009351179230e+00,2.043873828199799458e+00
3.137000009352669760e+00,2.043873828199799458e+00
3.137500009354160291e+00,2.043873828199799458e+00
3.138000009355651265e+00,2.043873828199799458e+00
3.138500009357141796e+00,2.043873828199799458e+00
3.139000009358632770e+00,2.043873828199799458e+00
3.139500009360123300e+00,2.043873828199799458e+00
3.140000009361613831e+00,2.043873828199799458e+00
3.140500009363104805e+00,2.043873828199799458e+00
3.141000009364595336e+00,2.043873828199799458e+00
3.141500009366085866e+00,2.043873828199799458e+00
3.142000009367576840e+00,2.043873828199799458e+00
3.142500009369067371e+00,2.043873828199799458e+00
